UF,Município,Foco,Registro,Protocolo,COBRADE,Status,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,DH_Outros Afetados,DM_Unidades Habitacionais Danificadas,DM_Unidades Habitacionais Destruídas,DM_Unidades Habitacionais Valor,DM_Instalações públicas de saúde Danificadas,DM_Instalações públicas de saúde Destruídas,DM_Instalações públicas de saúde Valor,DM_Instalações públicas de ensino Danificadas,DM_Instalações públicas de ensino Destruídas,DM_Instalações públicas de ensino Valor,DM_Instalações públicas prestadoras de outros serviços Danificadas,DM_Instalações públicas prestadoras de outros serviços Destruídas,DM_Instalações públicas prestadoras de outros serviços Valor,DM_Instalações públicas de uso comunitário Danificadas,DM_Instalações públicas de uso comunitário Destruídas,DM_Instalações públicas de uso comunitário Valor,DM_Obras de infraestrutura pública Danificadas,DM_Obras de infraestrutura pública Destruídas,DM_Obras de infraestrutura pública Valor,DA_Poluição ou contaminação da água,DA_Poluição ou contaminação do ar,DA_Poluição ou contaminação do solo,DA_Diminuição ou exaurimento hídrico,"DA_Incêndios em parques, APA's ou APP's","PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$)",PEPL_Abastecimento de água potável (R$),PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$),PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$),PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$),PEPL_Geração e distribuição de energia elétrica (R$),PEPL_Telecomunicações (R$),"PEPL_Transportes locais, regionais e de longo curso (R$)","PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$)",PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),,Franco da Rocha,Vizinhas
SP,Osasco,Tirar da analise,09/02/2023,SP-F-3534401-12100-20230207,12100 - Inundações,Registro,666469,1,0,0,0,0,0,1000,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Osasco,Tirar da analise,06/03/2024,SP-F-3534401-13214-20240305,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,666469,0,0,0,0,97,0,0,25,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Osasco,Tirar da analise,19/01/2024,SP-F-3534401-13214-20240118,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,666469,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Osasco,Tirar da analise,06/02/2025,SP-F-3534401-12100-20250202,12100 - Inundações,Registro,666469,0,0,0,0,10,0,486,161,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Osvaldo Cruz,Tirar da analise,04/02/2022,SP-F-3534609-13214-20220130,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,30917,0,0,0,0,6,0,300,2,0,450000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,4,5945000.0,,,,,,0.0,0.0,0.0,31942.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Osvaldo Cruz,Tirar da analise,08/08/2025,SP-F-3534609-12300-20250730,12300 - Alagamentos,Não reconhecido,30917,0,0,0,0,0,0,20,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Osvaldo Cruz,Tirar da analise,28/07/2025,SP-F-3534609-12300-20250204,12300 - Alagamentos,Não reconhecido,30917,0,0,0,0,20,0,0,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Ouro Verde,Tirar da analise,13/03/2023,SP-F-3534807-13214-20230311,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7794,0,0,0,0,2,0,8674,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,139,0,"1,54E+16",,,,,,,,,,,,,,,,,,,,,,,,
SP,Pacaembu,Tirar da analise,03/03/2023,SP-F-3534906-13214-20230301,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,12934,0,1,0,0,12,0,593,2,0,10000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,1,1108000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Pacaembu,Tirar da analise,19/01/2023,SP-F-3534906-12300-20230119,12300 - Alagamentos,Registro,12934,0,0,0,0,28,0,0,6,0,1700.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
